U+2F800	丽	hengheng
U+2F801	丸	jiudian
U+2F802	乁	yi
U+2F803	𠄢	erhui
U+2F804	你	rener
U+2F805	侮	renmei
U+2F806	侻	rendui
U+2F807	倂	renbing
U+2F808	偺	renri
U+2F809	備	renyong
U+2F80A	僧	renzeng
U+2F80B	像	renxiang
U+2F80C	㒞	renjuan
U+2F80D	𠘺	eryun
U+2F80E	免	daoer
U+2F80F	兔	daodian
U+2F810	兤	guangguang
U+2F811	具	muba
U+2F812	𠔜	jiuba
U+2F813	㒹	zhenzhen
U+2F814	內	kuangren
U+2F815	再	wangkuang
U+2F816	𠕋	kuanger
U+2F817	冗	gaier
U+2F818	冤	gaitu
U+2F819	仌	renren
U+2F81A	冬	wendian
U+2F81B	况	erxiong
U+2F81C	𩇟	shuiliang
U+2F81D	凵	yishu
U+2F81E	刃	daodian
U+2F81F	㓟	pidao
U+2F820	刻	haidao
U+2F821	剆	liangdao
U+2F822	割	haidao
U+2F823	剷	chandao
U+2F824	㔕	qili
U+2F825	勇	yinan
U+2F826	勉	mianli
U+2F827	勤	caoli
U+2F828	勺	baoheng
U+2F829	包	baoji
U+2F82A	匆	wudian
U+2F82B	北	panbi
U+2F82C	卉	shicao
U+2F82D	卑	baishi
U+2F82E	博	shifu
U+2F82F	即	gener
U+2F830	卽	baier
U+2F831	卿	maogen
U+2F832	卿	maoliang
U+2F833	卿	maobi
U+2F834	𠨬	changbi
U+2F835	灰	changhuo
U+2F836	及	yiren
U+2F837	叟	shenyou
U+2F838	𠭣	jiyou
U+2F839	叫	koujiu
U+2F83A	叱	koubi
U+2F83B	吆	koume
U+2F83C	咞	koukai
U+2F83D	吸	kouji
U+2F83E	呈	kouwang
U+2F83F	周	kuangkou
U+2F840	咢	kouyu
U+2F841	哶	kouchuan
U+2F842	唐	guangkou
U+2F843	啓	hukou
U+2F844	啣	kouer
U+2F845	善	yangkou
U+2F846	善	yangkou
U+2F847	喙	koushi
U+2F848	喫	kouqi
U+2F849	喳	koucha
U+2F84A	嗂	kouyao
U+2F84B	圖	koubi
U+2F84C	嘆	koufu
U+2F84D	圗	kouhui
U+2F84E	噑	kougao
U+2F84F	噴	kouben
U+2F850	切	tudao
U+2F851	壮	pantu
U+2F852	城	tucheng
U+2F853	埴	tuzhi
U+2F854	堍	tutu
U+2F855	型	xingtu
U+2F856	堲	jitu
U+2F857	報	xingyou
U+2F858	墬	ertu
U+2F859	𡓤	tubei
U+2F85A	売	shirong
U+2F85B	壷	shiya
U+2F85C	夆	wenfeng
U+2F85D	多	xixi
U+2F85E	夢	caoxi
U+2F85F	奢	dazhe
U+2F860	𡚨	nvbi
U+2F861	𡛪	nvshan
U+2F862	姬	nvyi
U+2F863	娛	nvwu
U+2F864	娧	nvdui
U+2F865	姘	nvbing
U+2F866	婦	nvzhou
U+2F867	㛮	nvyou
U+2F868	㛼	nvcha
U+2F869	嬈	nvyao
U+2F86A	嬾	nvlai
U+2F86B	嬾	nvye
U+2F86C	𡧈	gaikui
U+2F86D	寃	gaitu
U+2F86E	寘	gaizhen
U+2F86F	寧	gaiding
U+2F870	寳	gaibei
U+2F871	𡬘	liukuan
U+2F872	寿	fengcun
U+2F873	将	pancun
U+2F874	当	xiaoxue
U+2F875	尢	henger
U+2F876	㞁	yougen
U+2F877	屠	shizhe
U+2F878	屮	kuangpie
U+2F879	峀	shanyou
U+2F87A	岍	shankai
U+2F87B	𡷤	shanwu
U+2F87C	嵃	shanyan
U+2F87D	𡷦	jishan
U+2F87E	嵮	shanzhen
U+2F87F	嵫	shanzi
U+2F880	嵼	shanchan
U+2F881	巡	zouchuan
U+2F882	巢	chuanmu
U+2F883	㠯	shukou
U+2F884	巽	sigong
U+2F885	帨	jindui
U+2F886	帽	jinmao
U+2F887	幩	jinben
U+2F888	㡢	jinfang
U+2F889	𢆃	jinwen
U+2F88A	㡼	guangye
U+2F88B	庰	guangbing
U+2F88C	庳	guangbei
U+2F88D	庶	guanghuo
U+2F88E	廊	guanglang
U+2F88F	𪎒	mafan
U+2F890	廾	shishi
U+2F891	𢌱	yucao
U+2F892	𢌱	yucao
U+2F893	舁	jiucao
U+2F894	弢	gongyou
U+2F895	弢	gongcha
U+2F896	㣇	jinjin
U+2F897	𣊸	wujin
U+2F898	𦇚	xuesu
U+2F899	形	kaishan
U+2F89A	彫	zhoushan
U+2F89B	㣣	renjia
U+2F89C	徚	rendong
U+2F89D	忍	renxin
U+2F89E	志	shixin
U+2F89F	忹	xinwang
U+2F8A0	悁	xinyue
U+2F8A1	㤺	xinhuang
U+2F8A2	㤜	xinxu
U+2F8A3	悔	xinmei
U+2F8A4	𢛔	xinjian
U+2F8A5	惇	xinxiang
U+2F8A6	慈	zixin
U+2F8A7	慌	xinhuang
U+2F8A8	慎	xinzhen
U+2F8A9	慌	xinhuang
U+2F8AA	慺	xinlou
U+2F8AB	憎	xinzeng
U+2F8AC	憲	gaixin
U+2F8AD	憤	xinben
U+2F8AE	憯	xinri
U+2F8AF	懞	xinshi
U+2F8B0	懲	zhengxin
U+2F8B1	懶	xinye
U+2F8B2	成	wuding
U+2F8B3	戛	baige
U+2F8B4	扝	shouyu
U+2F8B5	抱	shoubao
U+2F8B6	拔	shouba
U+2F8B7	捐	shouyue
U+2F8B8	𢬌	shouba
U+2F8B9	挽	shoumian
U+2F8BA	拼	shoubing
U+2F8BB	捨	shoushe
U+2F8BC	掃	shouzhou
U+2F8BD	揤	shouji
U+2F8BE	𢯱	shouyou
U+2F8BF	搢	shoujin
U+2F8C0	揅	yanshou
U+2F8C1	掩	shouyan
U+2F8C2	㨮	shoudou
U+2F8C3	摩	mashou
U+2F8C4	摾	shouqiang
U+2F8C5	撝	shouwei
U+2F8C6	摷	shouchao
U+2F8C7	㩬	shouxi
U+2F8C8	敏	meiwen
U+2F8C9	敬	gouwen
U+2F8CA	𣀊	lianwen
U+2F8CB	旣	baiwu
U+2F8CC	書	yuri
U+2F8CD	晉	yari
U+2F8CE	㬙	riwei
U+2F8CF	暑	rizhe
U+2F8D0	㬈	riwen
U+2F8D1	㫤	riyong
U+2F8D2	冒	rimu
U+2F8D3	冕	rimian
U+2F8D4	最	riqu
U+2F8D5	暜	liri
U+2F8D6	肭	yuenei
U+2F8D7	䏙	yueyin
U+2F8D8	朗	liangyue
U+2F8D9	望	wangwang
U+2F8DA	朡	yuewen
U+2F8DB	杞	muyi
U+2F8DC	杓	mushao
U+2F8DD	𣏃	muxue
U+2F8DE	㭉	caomu
U+2F8DF	柺	muling
U+2F8E0	枅	mukai
U+2F8E1	桒	huimu
U+2F8E2	梅	mumei
U+2F8E3	𣑭	muce
U+2F8E4	梎	mugen
U+2F8E5	栟	mubing
U+2F8E6	椔	muzai
U+2F8E7	㮝	muer
U+2F8E8	楂	mucha
U+2F8E9	榣	muyao
U+2F8EA	槪	muji
U+2F8EB	檨	muxian
U+2F8EC	𣚣	muyi
U+2F8ED	櫛	mujie
U+2F8EE	㰘	muyi
U+2F8EF	次	shuiqian
U+2F8F0	𣢧	yuqian
U+2F8F1	歔	xuqian
U+2F8F2	㱎	siqian
U+2F8F3	歲	zhishi
U+2F8F4	殟	daiwen
U+2F8F5	殺	shashu
U+2F8F6	殻	keshu
U+2F8F7	𣪍	shishu
U+2F8F8	𡴋	shanmu
U+2F8F9	𣫺	meiyu
U+2F8FA	汎	shuifan
U+2F8FB	𣲼	shuijiu
U+2F8FC	沿	shuikou
U+2F8FD	泍	shuiben
U+2F8FE	汧	shuikai
U+2F8FF	洖	shuiwu
U+2F900	派	shuipai
U+2F901	海	shuimei
U+2F902	流	shuiliu
U+2F903	浩	shuigao
U+2F904	浸	shuiqin
U+2F905	涅	shuigong
U+2F906	𣴞	shuitu
U+2F907	洴	shuibing
U+2F908	港	shuixiang
U+2F909	湮	shuitu
U+2F90A	㴳	shuishan
U+2F90B	滋	shuizi
U+2F90C	滇	shuizhen
U+2F90D	𣻑	shuisha
U+2F90E	淹	shuiyan
U+2F90F	潮	shuichao
U+2F910	𣽞	shuijiu
U+2F911	𣾎	shuihuo
U+2F912	濆	shuiben
U+2F913	瀹	shuiyue
U+2F914	瀞	shuijing
U+2F915	瀛	shuiying
U+2F916	㶖	shuihei
U+2F917	灊	shuige
U+2F918	災	chuanhuo
U+2F919	灷	huocao
U+2F91A	炭	shanhui
U+2F91B	𠔥	bahuo
U+2F91C	煅	huoshu
U+2F91D	𤉣	huozai
U+2F91E	熜	huoxin
U+2F91F	𤎫	yanhuo
U+2F920	爨	jiuhuo
U+2F921	爵	zhaocun
U+2F922	牐	piancha
U+2F923	𤘈	yajiu
U+2F924	犀	niaoniu
U+2F925	犕	niuyong
U+2F926	𤜵	quankai
U+2F927	𤠔	quanyuan
U+2F928	獺	quanye
U+2F929	王	sanshu
U+2F92A	㺬	wangfan
U+2F92B	玥	wangyue
U+2F92C	㺸	renwang
U+2F92D	㺸	renyu
U+2F92E	瑇	wangdu
U+2F92F	瑜	wangyu
U+2F930	瑱	wangzhen
U+2F931	璅	wangchao
U+2F932	瓊	wangwen
U+2F933	㼛	kaiwa
U+2F934	甤	shisheng
U+2F935	𤰶	shenshen
U+2F936	甾	chuantian
U+2F937	𤲒	tianbing
U+2F938	異	tiangong
U+2F939	𢆟	youbing
U+2F93A	瘐	bingyu
U+2F93B	𤾡	baiwei
U+2F93C	𤾸	baiwei
U+2F93D	𥁄	kuimin
U+2F93E	㿼	kaimin
U+2F93F	䀈	jimin
U+2F940	直	shiyi
U+2F941	𥃳	mukui
U+2F942	𥃲	mucao
U+2F943	𥄙	mubu
U+2F944	𥄳	sishui
U+2F945	眞	biju
U+2F946	真	shiba
U+2F947	真	shiba
U+2F948	睊	muyuan
U+2F949	䀹	mujia
U+2F94A	瞋	muzhen
U+2F94B	䁆	muyan
U+2F94C	䂖	shidian
U+2F94D	𥐝	shishao
U+2F94E	硎	shixing
U+2F94F	碌	shilu
U+2F950	磌	shizhen
U+2F951	䃣	shiwei
U+2F952	𥘦	shiwen
U+2F953	祖	buqie
U+2F954	𥚚	shier
U+2F955	𥛅	shiliu
U+2F956	福	shifu
U+2F957	秫	heshu
U+2F958	䄯	hekai
U+2F959	穀	kehe
U+2F95A	穊	heji
U+2F95B	穏	heji
U+2F95C	𥥼	xuejing
U+2F95D	𥪧	lizhen
U+2F95E	𥪧	lizhen
U+2F95F	竮	liping
U+2F960	䈂	zhubing
U+2F961	𥮫	zhumi
U+2F962	篆	zhushi
U+2F963	築	zhumu
U+2F964	䈧	zhuwei
U+2F965	𥲀	zhuchao
U+2F966	糒	miyong
U+2F967	䊠	jimi
U+2F968	糨	miqiang
U+2F969	糣	miri
U+2F96A	紀	siyi
U+2F96B	𥾆	sijiu
U+2F96C	絣	sibing
U+2F96D	䌁	siyao
U+2F96E	緇	sizai
U+2F96F	縂	sizong
U+2F970	繅	sichao
U+2F971	䌴	siyang
U+2F972	𦈨	foukai
U+2F973	𦉇	fouping
U+2F974	䍙	simei
U+2F975	𦋙	wangyan
U+2F976	罺	sichao
U+2F977	𦌾	sihuan
U+2F978	羕	yangyong
U+2F979	翺	ziyu
U+2F97A	者	zhedian
U+2F97B	𦓚	zhiduan
U+2F97C	𦔣	leiwu
U+2F97D	聠	erbing
U+2F97E	𦖨	cier
U+2F97F	聰	erxin
U+2F980	𣍟	kuangyue
U+2F981	䏕	yueren
U+2F982	育	yunyue
U+2F983	脃	yuese
U+2F984	䐋	yuexin
U+2F985	脾	yuebei
U+2F986	媵	yuenv
U+2F987	𦞧	yueliu
U+2F988	𦞵	yuegao
U+2F989	𣎓	yuexuan
U+2F98A	𣎜	yuemian
U+2F98B	舁	jiucao
U+2F98C	舄	jiuhuo
U+2F98D	辞	shexin
U+2F98E	䑫	zhoubing
U+2F98F	芑	caoyi
U+2F990	芋	caoyu
U+2F991	芝	caozhi
U+2F992	劳	caoli
U+2F993	花	caohua
U+2F994	芳	caofang
U+2F995	芽	caoya
U+2F996	苦	caogu
U+2F997	𦬼	caoer
U+2F998	若	caoyou
U+2F999	茝	caoyi
U+2F99A	荣	yingmu
U+2F99B	莭	caoji
U+2F99C	茣	caowu
U+2F99D	莽	caocao
U+2F99E	菧	caodi
