U+F900	豈	shandou
U+F901	更	hengri
U+F902	車	hengheng
U+F903	賈	xibei
U+F904	滑	shuigu
U+F905	串	lvshu
U+F906	句	baokou
U+F907	龜	daocha
U+F908	龜	daocha
U+F909	契	fengda
U+F90A	金	renwang
U+F90B	喇	koula
U+F90C	奈	dashi
U+F90D	懶	xinlai
U+F90E	癩	binglai
U+F90F	羅	siwei
U+F910	蘿	caoluo
U+F911	螺	chonglei
U+F912	裸	yiguo
U+F913	邏	zouluo
U+F914	樂	yaomu
U+F915	洛	shuige
U+F916	烙	huoge
U+F917	珞	wangge
U+F918	落	caoluo
U+F919	酪	youge
U+F91A	駱	mage
U+F91B	亂	zhaoyi
U+F91C	卵	maodian
U+F91D	欄	mulan
U+F91E	爛	huolan
U+F91F	蘭	caolan
U+F920	鸞	luanniao
U+F921	嵐	shanfeng
U+F922	濫	shuijian
U+F923	藍	caojian
U+F924	襤	yijian
U+F925	拉	shouli
U+F926	臘	yuelie
U+F927	蠟	chonglie
U+F928	廊	guanglang
U+F929	朗	liangyue
U+F92A	浪	shuiliang
U+F92B	狼	quanliang
U+F92C	郎	lianger
U+F92D	來	mucong
U+F92E	冷	shuiling
U+F92F	勞	yingli
U+F930	擄	shoulu
U+F931	櫓	mulu
U+F932	爐	huolu
U+F933	盧	humin
U+F934	老	tubi
U+F935	蘆	caolu
U+F936	虜	hunan
U+F937	路	zuge
U+F938	露	yulu
U+F939	魯	yuri
U+F93A	鷺	luniao
U+F93B	碌	shilu
U+F93C	祿	shilu
U+F93D	綠	silu
U+F93E	菉	caolu
U+F93F	錄	jinlu
U+F940	鹿	guangbi
U+F941	論	yanlun
U+F942	壟	longtu
U+F943	弄	wangcao
U+F944	籠	zhulong
U+F945	聾	longer
U+F946	牢	gainiu
U+F947	磊	shishi
U+F948	賂	beige
U+F949	雷	yutian
U+F94A	壘	tiantu
U+F94B	屢	shilou
U+F94C	樓	mulou
U+F94D	淚	shuili
U+F94E	漏	shuilou
U+F94F	累	tiansi
U+F950	縷	silou
U+F951	陋	erbing
U+F952	勒	geli
U+F953	肋	yueli
U+F954	凜	shuibing
U+F955	凌	shuiling
U+F956	稜	heling
U+F957	綾	siling
U+F958	菱	caoling
U+F959	陵	erling
U+F95A	讀	yanmai
U+F95B	拏	nushou
U+F95C	樂	yaomu
U+F95D	諾	yanruo
U+F95E	丹	kuanger
U+F95F	寧	gaiding
U+F960	怒	nuxin
U+F961	率	ershi
U+F962	異	tiangong
U+F963	北	panbi
U+F964	磻	shifan
U+F965	便	rengeng
U+F966	復	renfu
U+F967	不	hengxiao
U+F968	泌	shuibi
U+F969	數	louwen
U+F96A	索	shisi
U+F96B	參	sizhen
U+F96C	塞	gaitu
U+F96D	省	shaomu
U+F96E	葉	caoye
U+F96F	說	yandui
U+F970	殺	shashu
U+F971	辰	changyi
U+F972	沈	shuiyin
U+F973	拾	shouhe
U+F974	若	caoyou
U+F975	掠	shoujing
U+F976	略	tiange
U+F977	亮	erer
U+F978	兩	hengru
U+F979	凉	shuijing
U+F97A	梁	shuimu
U+F97B	糧	miliang
U+F97C	良	diangen
U+F97D	諒	yanjing
U+F97E	量	danli
U+F97F	勵	lili
U+F980	呂	koukou
U+F981	女	nv
U+F982	廬	guanglu
U+F983	旅	fangshi
U+F984	濾	shuilv
U+F985	礪	shili
U+F986	閭	menlv
U+F987	驪	mali
U+F988	麗	lilu
U+F989	黎	heshui
U+F98A	力	li
U+F98B	曆	changri
U+F98C	歷	changzhi
U+F98D	轢	chele
U+F98E	年	nian
U+F98F	憐	xinlin
U+F990	戀	luanxin
