U+3400	㐀	caoheng
U+3401	㐁	hengkou
U+3402	㐂	qiqi
U+3403	㐃	sishu
U+3404	㐄	shiyi
U+3405	㐅	piedian
U+3406	㐆	changyi
U+3407	㐇	jiuyi
U+3408	㐈	ruyi
U+3409	㐉	dingyi
U+340A	㐊	shiyi
U+340B	㐋	tuyi
U+340C	㐌	renye
U+340D	㐍	zhaoyi
U+340E	㐎	wenyi
U+340F	㐏	wuyi
U+3410	㐐	nuyi
U+3411	㐑	dongyi
U+3412	㐒	zhaoyi
U+3413	㐓	keyi
U+3414	㐔	eryi
U+3415	㐕	youyi
U+3416	㐖	jiyi
U+3417	㐗	laoyi
U+3418	㐘	miyi
U+3419	㐙	douyi
U+341A	㐚	wuyi
U+341B	㐛	youyi
U+341C	㐜	qiujiu
U+341D	㐝	juyi
U+341E	㐞	qiyi
U+341F	㐟	feiyi
U+3420	㐠	ruyi
U+3421	㐡	jiuda
U+3422	㐢	fuyi
U+3423	㐣	kuyi
U+3424	㐤	jiuzhen
U+3425	㐥	chuyi
U+3426	㐦	juyi
U+3427	㐧	dianpie
U+3428	㐨	yuyu
U+3429	㐩	jingjing
U+342A	㐪	erren
U+342B	㐫	erxiong
U+342C	㐬	erchuan
U+342D	㐭	erhui
U+342E	㐮	yijing
U+342F	㐯	erxiang
U+3430	㐰	renkou
U+3431	㐱	renshan
U+3432	㐲	renda
U+3433	㐳	renwu
U+3434	㐴	renxi
U+3435	㐵	renyu
U+3436	㐶	rensi
U+3437	㐷	renma
U+3438	㐸	renqian
U+3439	㐹	renqi
U+343A	㐺	renren
U+343B	㐻	rennei
U+343C	㐼	rensheng
U+343D	㐽	renfeng
U+343E	㐾	renyuan
U+343F	㐿	renshou
U+3440	㑀	rentai
U+3441	㑁	renchu
U+3442	㑂	renbing
U+3443	㑃	renyou
U+3444	㑄	renmu
U+3445	㑅	renshang
U+3446	㑆	renxiong
U+3447	㑇	renchu
U+3448	㑈	rendong
U+3449	㑉	rensu
U+344A	㑊	renyi
U+344B	㑋	renqu
U+344C	㑌	renkuang
U+344D	㑍	renlei
U+344E	㑎	renshan
U+344F	㑏	renshou
U+3450	㑐	renxiao
U+3451	㑑	renzi
U+3452	㑒	renren
U+3453	㑓	renyou
U+3454	㑔	renye
U+3455	㑕	rensui
U+3456	㑖	renzhong
U+3457	㑗	renshen
U+3458	㑘	renjie
U+3459	㑙	rener
U+345A	㑚	renna
U+345B	㑛	renshu
U+345C	㑜	renzhe
U+345D	㑝	rennong
U+345E	㑞	rencao
U+345F	㑟	renbing
U+3460	㑠	renjian
U+3461	㑡	renji
U+3462	㑢	renque
U+3463	㑣	renlin
U+3464	㑤	renmiao
U+3465	㑥	renyi
U+3466	㑦	renli
U+3467	㑧	renji
U+3468	㑨	renshi
U+3469	㑩	renluo
U+346A	㑪	renqi
U+346B	㑫	rennian
U+346C	㑬	rengu
U+346D	㑭	renbi
U+346E	㑮	renjun
U+346F	㑯	renye
U+3470	㑰	rentuan
U+3471	㑱	renrou
U+3472	㑲	rennan
U+3473	㑳	renchu
U+3474	㑴	renyou
U+3475	㑵	renji
U+3476	㑶	renqi
U+3477	㑷	renneng
U+3478	㑸	renke
U+3479	㑹	renri
U+347A	㑺	renjuan
U+347B	㑻	renmi
U+347C	㑼	renlue
U+347D	㑽	rentang
U+347E	㑾	renyan
U+347F	㑿	renchao
U+3480	㒀	rendi
U+3481	㒁	renxing
U+3482	㒂	renzhu
U+3483	㒃	rener
U+3484	㒄	renran
U+3485	㒅	renduo
U+3486	㒆	renyu
U+3487	㒇	renwu
U+3488	㒈	rengan
U+3489	㒉	rentang
U+348A	㒊	renzhi
U+348B	㒋	rensi
U+348C	㒌	renrong
U+348D	㒍	rensi
U+348E	㒎	renfei
U+348F	㒏	renhan
U+3490	㒐	renxun
U+3491	㒑	renhui
U+3492	㒒	renye
U+3493	㒓	renda
U+3494	㒔	renshu
U+3495	㒕	renyong
U+3496	㒖	renwan
U+3497	㒗	renzhi
U+3498	㒘	renshu
U+3499	㒙	renmian
U+349A	㒚	renji
U+349B	㒛	rendi
U+349C	㒜	renyu
U+349D	㒝	renmie
U+349E	㒞	renjuan
U+349F	㒟	renma
U+34A0	㒠	renjiu
U+34A1	㒡	renxi
U+34A2	㒢	renyue
U+34A3	㒣	renying
U+34A4	㒤	rennie
U+34A5	㒥	renfeng
U+34A6	㒦	renlei
U+34A7	㒧	renli
U+34A8	㒨	rensi
U+34A9	㒩	renchong
U+34AA	㒪	renshi
U+34AB	㒫	henger
U+34AC	㒬	yuanwang
U+34AD	㒭	xiongxiong
U+34AE	㒮	yuanshi
U+34AF	㒯	guanghua
U+34B0	㒰	rugong
U+34B1	㒱	ruxi
U+34B2	㒲	ruri
U+34B3	㒳	kuangru
U+34B4	㒴	ruchu
U+34B5	㒵	baiba
U+34B6	㒶	babai
U+34B7	㒷	kuangba
U+34B8	㒸	bashi
U+34B9	㒹	zhenzhen
U+34BA	㒺	kuangren
U+34BB	㒻	rijian
U+34BC	㒼	nianru
U+34BD	㒽	rijuan
U+34BE	㒾	rishi
U+34BF	㒿	rili
U+34C0	㓀	gaibu
U+34C1	㓁	gaiba
U+34C2	㓂	gainv
U+34C3	㓃	gaituo
U+34C4	㓄	canyin
U+34C5	㓅	shuiding
U+34C6	㓆	shuilun
U+34C7	㓇	shuiyao
U+34C8	㓈	shuishi
U+34C9	㓉	shuishe
U+34CA	㓊	shuitong
U+34CB	㓋	shuigong
U+34CC	㓌	shuiquan
U+34CD	㓍	shuichong
U+34CE	㓎	shuiqin
U+34CF	㓏	shuijiong
U+34D0	㓐	shuilu
U+34D1	㓑	shuixing
U+34D2	㓒	shuixin
U+34D3	㓓	shuinan
U+34D4	㓔	shuishe
U+34D5	㓕	shuimie
U+34D6	㓖	shuibi
U+34D7	㓗	shuisi
