U+2A700	𪜀	hengyi
U+2A701	𪜁	henger
U+2A702	𪜂	hengwan
U+2A703	𪜃	qijin
U+2A704	𪜄	buke
U+2A705	𪜅	mujing
U+2A706	𪜆	hengxun
U+2A707	𪜇	wanqian
U+2A708	𪜈	shuqi
U+2A709	𪜉	zhongping
U+2A70A	𪜊	dianyi
U+2A70B	𪜋	zhuge
U+2A70C	𪜌	nairi
U+2A70D	𪜍	qianzhao
U+2A70E	𪜎	qiaokang
U+2A70F	𪜏	yaoni
U+2A710	𪜐	yihua
U+2A711	𪜑	moyi
U+2A712	𪜒	yiji
U+2A713	𪜓	jianyi
U+2A714	𪜔	jiuqu
U+2A715	𪜕	zheyi
U+2A716	𪜖	xunhui
U+2A717	𪜗	jiuhuo
U+2A718	𪜘	poyi
U+2A719	𪜙	jiusheng
U+2A71A	𪜚	shuiyi
U+2A71B	𪜛	rubu
U+2A71C	𪜜	beiliao
U+2A71D	𪜝	yuqi
U+2A71E	𪜞	yunqin
U+2A71F	𪜟	shuyun
U+2A720	𪜠	erfan
U+2A721	𪜡	shuwang
U+2A722	𪜢	erjiu
U+2A723	𪜣	liudai
U+2A724	𪜤	erzhui
U+2A725	𪜥	eryi
U+2A726	𪜦	tingliu
U+2A727	𪜧	rencha
U+2A728	𪜨	rennv
U+2A729	𪜩	rengou
U+2A72A	𪜪	renbi
U+2A72B	𪜫	renchou
U+2A72C	𪜬	renwei
U+2A72D	𪜭	renkou
U+2A72E	𪜮	renmu
U+2A72F	𪜯	renling
U+2A730	𪜰	renhe
U+2A731	𪜱	renhe
U+2A732	𪜲	renchi
U+2A733	𪜳	renmin
U+2A734	𪜴	renhong
U+2A735	𪜵	renzhi
U+2A736	𪜶	renyin
U+2A737	𪜷	renduo
U+2A738	𪜸	renzi
U+2A739	𪜹	renyu
U+2A73A	𪜺	renzhou
U+2A73B	𪜻	renchi
U+2A73C	𪜼	renniu
U+2A73D	𪜽	renli
U+2A73E	𪜾	renzhu
U+2A73F	𪜿	rennv
U+2A740	𪝀	renjiao
U+2A741	𪝁	rengchi
U+2A742	𪝂	rengen
U+2A743	𪝃	yucha
U+2A744	𪝄	renyu
U+2A745	𪝅	renmei
U+2A746	𪝆	renfang
U+2A747	𪝇	renwen
U+2A748	𪝈	renshou
U+2A749	𪝉	rentiao
U+2A74A	𪝊	rendi
U+2A74B	𪝋	renxiang
U+2A74C	𪝌	rentian
U+2A74D	𪝍	renhu
U+2A74E	𪝎	xiuling
U+2A74F	𪝏	renke
U+2A750	𪝐	renhou
U+2A751	𪝑	renwen
U+2A752	𪝒	renduan
U+2A753	𪝓	renyue
U+2A754	𪝔	renyuan
U+2A755	𪝕	renpen
U+2A756	𪝖	rengong
U+2A757	𪝗	laiyun
U+2A758	𪝘	renyou
U+2A759	𪝙	renhe
U+2A75A	𪝚	renhuang
U+2A75B	𪝛	renyin
U+2A75C	𪝜	renshi
U+2A75D	𪝝	renzhen
U+2A75E	𪝞	renyi
U+2A75F	𪝟	renruo
U+2A760	𪝠	renge
U+2A761	𪝡	renmo
U+2A762	𪝢	renyi
U+2A763	𪝣	renji
U+2A764	𪝤	renyin
U+2A765	𪝥	rener
U+2A766	𪝦	renji
U+2A767	𪝧	renyan
U+2A768	𪝨	renmi
U+2A769	𪝩	yangjin
U+2A76A	𪝪	jiage
U+2A76B	𪝫	renqu
U+2A76C	𪝬	rensui
U+2A76D	𪝭	renyu
U+2A76E	𪝮	xinxian
U+2A76F	𪝯	weide
U+2A770	𪝰	renma
U+2A771	𪝱	cuige
U+2A772	𪝲	qiuzhu
U+2A773	𪝳	renhan
U+2A774	𪝴	renqian
U+2A775	𪝵	renliu
U+2A776	𪝶	jinyou
U+2A777	𪝷	renni
U+2A778	𪝸	renwen
U+2A779	𪝹	pianmiao
U+2A77A	𪝺	renxia
U+2A77B	𪝻	daosa
U+2A77C	𪝼	renying
U+2A77D	𪝽	zhenye
U+2A77E	𪝾	renchun
U+2A77F	𪝿	rier
U+2A780	𪞀	guangge
U+2A781	𪞁	miansi
U+2A782	𪞂	mianzao
U+2A783	𪞃	guangxing
U+2A784	𪞄	xiantian
U+2A785	𪞅	chongtai
U+2A786	𪞆	guangcan
U+2A787	𪞇	quanfen
U+2A788	𪞈	bawu
U+2A789	𪞉	jigong
U+2A78A	𪞊	bashang
U+2A78B	𪞋	gengong
