U+2B820	𫠠	hengyi
U+2B821	𫠡	hengge
U+2B822	𫠢	shangding
U+2B823	𫠣	hengxiao
U+2B824	𫠤	fengbao
U+2B825	𫠥	yibing
U+2B826	𫠦	hengge
U+2B827	𫠧	wuxia
U+2B828	𫠨	zhuiheng
U+2B829	𫠩	hengyao
U+2B82A	𫠪	yixia
U+2B82B	𫠫	buyuan
U+2B82C	𫠬	buzhong
U+2B82D	𫠭	bubu
U+2B82E	𫠮	zhixia
U+2B82F	𫠯	nongxia
U+2B830	𫠰	xiawo
U+2B831	𫠱	genzhi
U+2B832	𫠲	buqu
U+2B833	𫠳	xialun
U+2B834	𫠴	qiuhui
U+2B835	𫠵	hengran
U+2B836	𫠶	buken
U+2B837	𫠷	shangfeng
U+2B838	𫠸	shangxiao
U+2B839	𫠹	shangneng
U+2B83A	𫠺	shangken
U+2B83B	𫠻	buxin
U+2B83C	𫠼	shangzhuo
U+2B83D	𫠽	shangqing
U+2B83E	𫠾	shiyuan
U+2B83F	𫠿	shangdeng
U+2B840	𫡀	bingqi
U+2B841	𫡁	jianbing
U+2B842	𫡂	jianbing
U+2B843	𫡃	shuheng
U+2B844	𫡄	naishu
U+2B845	𫡅	jiujiu
U+2B846	𫡆	siheng
U+2B847	𫡇	fenzhong
U+2B848	𫡈	shuxing
U+2B849	𫡉	zizhong
U+2B84A	𫡊	shuwen
U+2B84B	𫡋	erxun
U+2B84C	𫡌	chuanjuan
U+2B84D	𫡍	zhichuan
U+2B84E	𫡎	leichuan
U+2B84F	𫡏	piepie
U+2B850	𫡐	naige
U+2B851	𫡑	rencong
U+2B852	𫡒	pietu
U+2B853	𫡓	daoxiao
U+2B854	𫡔	gegai
U+2B855	𫡕	pieqiu
U+2B856	𫡖	renxun
U+2B857	𫡗	fengxun
U+2B858	𫡘	renjue
U+2B859	𫡙	guaiheng
U+2B85A	𫡚	zhuiyu
U+2B85B	𫡛	yizhi
U+2B85C	𫡜	zhuizi
U+2B85D	𫡝	naishi
U+2B85E	𫡞	zhuiyi
U+2B85F	𫡟	wuwang
U+2B860	𫡠	jiumai
U+2B861	𫡡	qiaoyu
U+2B862	𫡢	yitu
U+2B863	𫡣	yiwen
U+2B864	𫡤	jiujiu
U+2B865	𫡥	yihe
U+2B866	𫡦	zhenjiu
U+2B867	𫡧	yidiu
U+2B868	𫡨	yiqiu
U+2B869	𫡩	yeye
U+2B86A	𫡪	mouyi
U+2B86B	𫡫	yinan
U+2B86C	𫡬	wanguo
U+2B86D	𫡭	maiyi
U+2B86E	𫡮	miyi
U+2B86F	𫡯	chaoyi
U+2B870	𫡰	jiuqian
U+2B871	𫡱	shuanger
U+2B872	𫡲	wuxia
U+2B873	𫡳	jingxun
U+2B874	𫡴	ermu
U+2B875	𫡵	wunan
U+2B876	𫡶	yunshen
U+2B877	𫡷	yabai
U+2B878	𫡸	erqing
U+2B879	𫡹	erjiu
U+2B87A	𫡺	ershi
U+2B87B	𫡻	wangyuan
U+2B87C	𫡼	ermu
U+2B87D	𫡽	jiaolv
U+2B87E	𫡾	wangyuan
U+2B87F	𫡿	ermi
U+2B880	𫢀	erchong
U+2B881	𫢁	erjing
U+2B882	𫢂	jingzhi
U+2B883	𫢃	yingcheng
U+2B884	𫢄	yingfu
U+2B885	𫢅	renheng
U+2B886	𫢆	renkao
U+2B887	𫢇	renshu
U+2B888	𫢈	rendao
U+2B889	𫢉	rengan
