U+30000	𰀀	hengyi
U+30001	𰀁	ershu
U+30002	𰀂	kuangheng
U+30003	𰀃	hengkuang
U+30004	𰀄	kuangheng
U+30005	𰀅	wanheng
U+30006	𰀆	erba
U+30007	𰀇	kaokao
U+30008	𰀈	fengdian
U+30009	𰀉	shikou
U+3000A	𰀊	jinkao
U+3000B	𰀋	qishu
U+3000C	𰀌	hengdiao
U+3000D	𰀍	buya
U+3000E	𰀎	shangshang
U+3000F	𰀏	shanggen
U+30010	𰀐	hengsi
U+30011	𰀑	diucai
U+30012	𰀒	bingbing
U+30013	𰀓	hengji
U+30014	𰀔	hengtu
U+30015	𰀕	bingbing
U+30016	𰀖	hengguo
U+30017	𰀗	shangshang
U+30018	𰀘	buren
U+30019	𰀙	tianbian
U+3001A	𰀚	buzheng
U+3001B	𰀛	hengtu
U+3001C	𰀜	waibi
U+3001D	𰀝	qieqie
U+3001E	𰀞	leichou
U+3001F	𰀟	buzheng
U+30020	𰀠	shudian
U+30021	𰀡	shuyou
U+30022	𰀢	shudian
U+30023	𰀣	jiufu
U+30024	𰀤	riwang
U+30025	𰀥	siyu
U+30026	𰀦	sisi
U+30027	𰀧	jiuzhou
U+30028	𰀨	leichuan
U+30029	𰀩	zhuzhu
U+3002A	𰀪	piepie
U+3002B	𰀫	pieyi
U+3002C	𰀬	nairen
U+3002D	𰀭	chengli
U+3002E	𰀮	zhuici
U+3002F	𰀯	nailang
U+30030	𰀰	yiyi
U+30031	𰀱	yiyi
U+30032	𰀲	buyi
U+30033	𰀳	yiyou
U+30034	𰀴	maoyi
U+30035	𰀵	yishan
U+30036	𰀶	xiaoyi
U+30037	𰀷	shanyi
U+30038	𰀸	yeye
U+30039	𰀹	heyi
U+3003A	𰀺	yongyi
U+3003B	𰀻	zhaoyi
U+3003C	𰀼	yitai
U+3003D	𰀽	xiyi
U+3003E	𰀾	yixi
U+3003F	𰀿	fayi
U+30040	𰁀	yibing
U+30041	𰁁	zouyi
U+30042	𰁂	zhuyi
U+30043	𰁃	bingyi
U+30044	𰁄	juyi
U+30045	𰁅	weiyi
U+30046	𰁆	zhiyi
U+30047	𰁇	jiuqiu
U+30048	𰁈	shushi
U+30049	𰁉	shiyi
U+3004A	𰁊	zeyi
U+3004B	𰁋	yipin
U+3004C	𰁌	yili
U+3004D	𰁍	yeyi
U+3004E	𰁎	jinyi
U+3004F	𰁏	yixin
U+30050	𰁐	yimi
U+30051	𰁑	fuyi
U+30052	𰁒	liaoliao
U+30053	𰁓	qingzheng
U+30054	𰁔	zhengzheng
U+30055	𰁕	qier
U+30056	𰁖	ershu
U+30057	𰁗	erchi
U+30058	𰁘	erren
U+30059	𰁙	hengcong
U+3005A	𰁚	yafa
U+3005B	𰁛	yunman
U+3005C	𰁜	erba
U+3005D	𰁝	wangpeng
U+3005E	𰁞	ershu
U+3005F	𰁟	wangluo
U+30060	𰁠	liangdong
U+30061	𰁡	renru
U+30062	𰁢	renshi
U+30063	𰁣	rengong
U+30064	𰁤	yuanren
U+30065	𰁥	renyou
U+30066	𰁦	renwen
U+30067	𰁧	rencong
U+30068	𰁨	renpian
U+30069	𰁩	rendou
U+3006A	𰁪	renshuang
U+3006B	𰁫	renda
U+3006C	𰁬	renda
U+3006D	𰁭	renyi
U+3006E	𰁮	bairen
U+3006F	𰁯	renyong
U+30070	𰁰	furen
U+30071	𰁱	rensi
U+30072	𰁲	renzhi
U+30073	𰁳	renjiang
U+30074	𰁴	renyu
U+30075	𰁵	renzi
U+30076	𰁶	renshan
U+30077	𰁷	shenyi
U+30078	𰁸	rendang
U+30079	𰁹	renzao
U+3007A	𰁺	rengang
U+3007B	𰁻	rendiao
U+3007C	𰁼	renxiang
U+3007D	𰁽	jiejie
U+3007E	𰁾	renfu
U+3007F	𰁿	renhui
U+30080	𰂀	renhou
U+30081	𰂁	renliu
U+30082	𰂂	renjiang
U+30083	𰂃	renxun
U+30084	𰂄	renheng
U+30085	𰂅	heshan
U+30086	𰂆	rentu
U+30087	𰂇	renbei
U+30088	𰂈	renru
U+30089	𰂉	rendan
U+3008A	𰂊	renyou
U+3008B	𰂋	renjian
U+3008C	𰂌	renqi
U+3008D	𰂍	renyou
U+3008E	𰂎	renyue
U+3008F	𰂏	renmai
U+30090	𰂐	fufen
U+30091	𰂑	renliang
U+30092	𰂒	rengang
U+30093	𰂓	renguai
U+30094	𰂔	renyu
U+30095	𰂕	renyue
U+30096	𰂖	foxia
U+30097	𰂗	rendai
U+30098	𰂘	renyang
U+30099	𰂙	rendao
U+3009A	𰂚	renming
U+3009B	𰂛	renzhi
U+3009C	𰂜	rengui
U+3009D	𰂝	qiping
U+3009E	𰂞	renbing
U+3009F	𰂟	renji
U+300A0	𰂠	renzhou
U+300A1	𰂡	rentu
U+300A2	𰂢	renxin
U+300A3	𰂣	renfang
U+300A4	𰂤	laidou
U+300A5	𰂥	xiuxue
U+300A6	𰂦	renlv
U+300A7	𰂧	rentu
U+300A8	𰂨	renzhui
U+300A9	𰂩	renzu
U+300AA	𰂪	renbai
U+300AB	𰂫	renwu
U+300AC	𰂬	renri
U+300AD	𰂭	renci
U+300AE	𰂮	renbu
U+300AF	𰂯	renbi
U+300B0	𰂰	renpu
U+300B1	𰂱	renzhang
U+300B2	𰂲	renjian
U+300B3	𰂳	renyun
U+300B4	𰂴	renye
U+300B5	𰂵	renchou
U+300B6	𰂶	renli
U+300B7	𰂷	renzi
U+300B8	𰂸	renshi
U+300B9	𰂹	rengong
U+300BA	𰂺	daoji
U+300BB	𰂻	renbei
U+300BC	𰂼	renxiong
U+300BD	𰂽	fojie
U+300BE	𰂾	renbai
U+300BF	𰂿	laihui
U+300C0	𰃀	renshen
U+300C1	𰃁	renshu
U+300C2	𰃂	renxi
U+300C3	𰃃	leyu
U+300C4	𰃄	laidao
U+300C5	𰃅	renye
U+300C6	𰃆	renzan
U+300C7	𰃇	renyi
U+300C8	𰃈	fozhong
